St. Martin,Louisiana
Hidalgo,Texas
Iberia,Louisiana
Acadia,Louisiana
Sumter,Georgia
Unassigned,Colorado
Hampden,Massachusetts
Carroll,Maryland
Calcasieu,Louisiana
Lancaster,Pennsylvania
Luzerne,Pennsylvania
Lafayette,Louisiana
St. Landry,Louisiana
Madison,Indiana
Beaver,Pennsylvania
Lehigh,Pennsylvania
Pike,Pennsylvania
Dauphin,Pennsylvania
Linn,Iowa
Madison,New York
Charles,Maryland
Trumbull,Ohio
Lucas,Ohio
Mobile,Alabama
Bristol,Massachusetts
Ouachita,Louisiana
Will,Illinois
Webb,Texas
Ada,Idaho
Chambers,Alabama
Portage,Ohio
Canyon,Idaho
Benton,Washington
Spartanburg,South Carolina
Tulsa,Oklahoma
Kankakee,Illinois
Lake,Indiana
Hampshire,Massachusetts
Northampton,Pennsylvania
St. Charles,Louisiana
St. John the Baptist,Louisiana
Minnehaha,South Dakota
Kern,California
St. Charles,Missouri
St. James,Louisiana
Schuylkill,Pennsylvania
Berks,Pennsylvania
Butler,Pennsylvania
Genesee,Michigan
Out of MI,Michigan
Sedgwick,Kansas
Hudson,New Jersey
Orange,Florida
Atlantic,New Jersey
Sussex,New Jersey
Decatur,Indiana
Plymouth,Massachusetts
Lafourche,Louisiana
Utah,Utah
Jackson,Michigan
Middlesex,Connecticut
Worcester,Massachusetts
Escambia,Florida
Saginaw,Michigan
